levelProperties posGlobal:(204.0, 110.0);designerFlag:2
CameraBounds myRect:(x:-25.00, y:-19.00, width:50.00, height:38.00)
Ground myRect:(x:21.00, y:-15.00, width:10.00, height:10.00)
Ground myRect:(x:0.00, y:-18.00, width:24.00, height:4.00)
Ground myRect:(x:-21.00, y:-18.00, width:10.00, height:4.00)
Ground myRect:(x:24.00, y:6.00, width:4.00, height:22.00)
Ground myRect:(x:0.00, y:18.00, width:52.00, height:4.00)
Ground myRect:(x:-24.00, y:4.50, width:4.00, height:31.00)
Platform myRect:(x:15.00, y:-18.50, width:2.00, height:1.00)
Platform myRect:(x:13.00, y:-16.50, width:2.00, height:1.00)
Platform myRect:(x:-15.00, y:-18.50, width:2.00, height:1.00)
Platform myRect:(x:-13.00, y:-16.50, width:2.00, height:1.00)
PlayerStart pos:(-13.2, -14.0)
